name,code,pop
England,GB,32
United States,USA,173
Argentina,ARG,2
Australia,AUS,16
New Zealand,NZL,3
Austria,AUT,4
China,CHN,10
Germany,DEU,17
Hungary,HUN,2
Brazil,BRA,4
Canada,CAN,9
Italy,ITA,15
France,FRA,20
Scotland,GB,2
Chile,CHL,4
Hong Kong,HKG,4
Japan,JPN,3
Colombia,COL,2
Czechoslovakia,CZE,3
Denmark,DNK,7
Norway,NOR,6
Sweden,SWE,6
Ireland,IRL,9
Finland,FIN,5
Portugal,PRT,2
Croatia,HRV,2
Mexico,MEX,11
Peru,PER,5
Poland,POL,3
Russia,RUS,8
Soviet Union,RUS,8
Spain,ESP,3
The Netherlands,NLD,3
The Philippines,PHL,2
Tunisia,TUN,2
Turkey,TUR,3